	ensg	gene_name_v99	ensg_v99
3086	ENSG00000160678	S100A1	ENSG00000160678.11
3088	ENSG00000160685	ZBTB7B	ENSG00000160685.13
3104	ENSG00000160803	UBQLN4	ENSG00000160803.8
3131	ENSG00000163354	DCST2	ENSG00000163354.15
3133	ENSG00000163374	YY1AP1	ENSG00000163374.19
3176	ENSG00000186226	LCE1E	ENSG00000186226.9
3186	ENSG00000188643	S100A16	ENSG00000188643.11
3187	ENSG00000189030	VHLL	ENSG00000189030.9
3190	ENSG00000196154	S100A4	ENSG00000196154.12
3191	ENSG00000196189	SEMA4A	ENSG00000196189.13
3201	ENSG00000197915	HRNR	ENSG00000197915.6
3205	ENSG00000198837	DENND4B	ENSG00000198837.10
3223	ENSG00000203782	LOR	ENSG00000203782.6
3367	ENSG00000244057	LCE3C	ENSG00000244057.4
3510	ENSG00000094963	FMO2	ENSG00000094963.14
3513	ENSG00000117036	ETV3	ENSG00000117036.12
3514	ENSG00000117090	SLAMF1	ENSG00000117090.15
3521	ENSG00000117501	MROH9	ENSG00000117501.14
3525	ENSG00000117560	FASLG	ENSG00000117560.8
3527	ENSG00000117592	PRDX6	ENSG00000117592.9
3540	ENSG00000132688	NES	ENSG00000132688.11
3545	ENSG00000132703	APCS	ENSG00000132703.4
3557	ENSG00000143162	CREG1	ENSG00000143162.9
3561	ENSG00000143178	TBX19	ENSG00000143178.13
3571	ENSG00000143199	ADCY10	ENSG00000143199.18
3573	ENSG00000143222	UFC1	ENSG00000143222.12
3575	ENSG00000143226	FCGR2A	ENSG00000143226.14
3578	ENSG00000143248	RGS5	ENSG00000143248.13
3587	ENSG00000143315	PIGM	ENSG00000143315.8
3605	ENSG00000158769	F11R	ENSG00000158769.18
3616	ENSG00000160838	LRRC71	ENSG00000160838.14
3635	ENSG00000163518	FCRL4	ENSG00000163518.11
3641	ENSG00000163568	AIM2	ENSG00000163568.15
3660	ENSG00000184155	OR10J5	ENSG00000184155.8
3662	ENSG00000185630	PBX1	ENSG00000185630.18
3667	ENSG00000187800	PEAR1	ENSG00000187800.13
3669	ENSG00000188340	OR6N2	ENSG00000188340.2
3681	ENSG00000198400	NTRK1	ENSG00000198400.11
3690	ENSG00000198967	OR10Z1	ENSG00000198967.4
4014	ENSG00000116260	QSOX1	ENSG00000116260.17
4017	ENSG00000116668	SWT1	ENSG00000116668.13
4026	ENSG00000116750	UCHL5	ENSG00000116750.13
4046	ENSG00000122180	MYOG	ENSG00000122180.5
4057	ENSG00000134376	CRB1	ENSG00000134376.16
4065	ENSG00000135837	CEP350	ENSG00000135837.16
4070	ENSG00000143278	F13B	ENSG00000143278.4
4073	ENSG00000143333	RGS16	ENSG00000143333.7
4074	ENSG00000143337	TOR1AIP1	ENSG00000143337.18
4075	ENSG00000143340	FAM163A	ENSG00000143340.6
4083	ENSG00000143850	PLEKHA6	ENSG00000143850.16
4091	ENSG00000152092	ASTN1	ENSG00000152092.16
4098	ENSG00000159176	CSRP1	ENSG00000159176.14
4104	ENSG00000162687	KCNT2	ENSG00000162687.18
4107	ENSG00000162779	AXDND1	ENSG00000162779.22
4133	ENSG00000186283	TOR3A	ENSG00000186283.14
4135	ENSG00000188770	OPTC	ENSG00000188770.10
4137	ENSG00000198216	CACNA1E	ENSG00000198216.12
4179	ENSG00000213047	DENND1B	ENSG00000213047.13
4489	ENSG00000008118	CAMK1G	ENSG00000008118.10
4498	ENSG00000076356	PLXNA2	ENSG00000076356.7
4499	ENSG00000081692	JMJD4	ENSG00000081692.12
4520	ENSG00000117791	MARC2	ENSG00000117791.16
4531	ENSG00000133069	TMCC2	ENSG00000133069.17
4541	ENSG00000143476	DTL	ENSG00000143476.18
4561	ENSG00000143772	ITPKB	ENSG00000143772.9
4562	ENSG00000143774	GUK1	ENSG00000143774.16
4566	ENSG00000143799	PARP1	ENSG00000143799.13
4581	ENSG00000158711	ELK4	ENSG00000158711.14
4596	ENSG00000162892	IL24	ENSG00000162892.16
4614	ENSG00000174606	ANGEL2	ENSG00000174606.14
4624	ENSG00000185155	MIXL1	ENSG00000185155.11
4628	ENSG00000185842	DNAH14	ENSG00000185842.15
4640	ENSG00000196660	SLC30A10	ENSG00000196660.10
4646	ENSG00000198570	RD3	ENSG00000198570.5
4647	ENSG00000198625	MDM4	ENSG00000198625.13
4648	ENSG00000198835	GJC2	ENSG00000198835.4
4866	ENSG00000243709	LEFTY1	ENSG00000243709.1
4987	ENSG00000010072	SPRTN	ENSG00000010072.16
4991	ENSG00000054282	SDCCAG8	ENSG00000054282.16
4992	ENSG00000059588	TARBP1	ENSG00000059588.10
5008	ENSG00000117020	AKT3	ENSG00000117020.18
5018	ENSG00000135763	URB2	ENSG00000135763.10
5019	ENSG00000135766	EGLN1	ENSG00000135766.9
5020	ENSG00000135773	CAPN9	ENSG00000135773.13
5025	ENSG00000143632	ACTA1	ENSG00000143632.14
5029	ENSG00000143653	SCCPDH	ENSG00000143653.10
5033	ENSG00000152904	GGPS1	ENSG00000152904.11
5034	ENSG00000153187	HNRNPU	ENSG00000153187.20
5045	ENSG00000162851	TFB2M	ENSG00000162851.8
5066	ENSG00000175143	OR2T1	ENSG00000175143.4
5091	ENSG00000183780	SLC35F3	ENSG00000183780.13
5106	ENSG00000196242	OR2C3	ENSG00000196242.10
5491	ENSG00000079785	DDX1	ENSG00000079785.15
5498	ENSG00000084734	GCKR	ENSG00000084734.9
5501	ENSG00000084774	CAD	ENSG00000084774.14
5514	ENSG00000115234	SNX17	ENSG00000115234.11
5522	ENSG00000115884	SDC1	ENSG00000115884.11
5534	ENSG00000119782	FKBP1B	ENSG00000119782.14
5537	ENSG00000134308	YWHAQ	ENSG00000134308.14
5540	ENSG00000134318	ROCK2	ENSG00000134318.14
5546	ENSG00000138002	IFT172	ENSG00000138002.15
5551	ENSG00000138031	ADCY3	ENSG00000138031.14
5552	ENSG00000138073	PREB	ENSG00000138073.14
5553	ENSG00000138074	SLC5A6	ENSG00000138074.15
5561	ENSG00000143867	OSR1	ENSG00000143867.7
5564	ENSG00000143878	RHOB	ENSG00000143878.10
5565	ENSG00000143882	ATP6V1C2	ENSG00000143882.12
5571	ENSG00000151353	TMEM18	ENSG00000151353.15
5572	ENSG00000151360	ALLC	ENSG00000151360.10
5617	ENSG00000183891	TTC32	ENSG00000183891.6
5622	ENSG00000186487	MYT1L	ENSG00000186487.19
5666	ENSG00000213639	PPP1CB	ENSG00000213639.10
5673	ENSG00000214842	RAD51AP2	ENSG00000214842.5
5744	ENSG00000228474	OST4	ENSG00000228474.6
5986	ENSG00000013016	EHD3	ENSG00000013016.16
6001	ENSG00000091106	NLRC4	ENSG00000091106.19
6002	ENSG00000095002	MSH2	ENSG00000095002.15
6020	ENSG00000115875	SRSF7	ENSG00000115875.19
6022	ENSG00000115944	COX7A2L	ENSG00000115944.15
6023	ENSG00000115970	THADA	ENSG00000115970.18
6024	ENSG00000116016	EPAS1	ENSG00000116016.14
6037	ENSG00000138036	DYNC2LI1	ENSG00000138036.18
6040	ENSG00000138061	CYP1B1	ENSG00000138061.12
6073	ENSG00000162928	PEX13	ENSG00000162928.9
6080	ENSG00000163001	CFAP36	ENSG00000163001.11
6087	ENSG00000170802	FOXN2	ENSG00000170802.16
